order_id,order_date,product_name,category,quantity,unit_price_inr,region,payment_mode,source_company,line_total_inr
A-01270,2023-01-10,FreshWash Dish Soap 500ml,Home Care,27,552.9,South Zone,Credit,Company A,14928.3
A-00700,2023-01-10,GoldTea Premium 250g,Beverages,21,809.88,West Zone,UPI,Company A,17007.48
B-01088,2023-01-10,WholeGrain Rice 5 KG,Staples,42,277.22,South Zone,Cash,Company B,11643.24
A-00236,2023-01-10,FreshWash Dish Soap 500ml,Home Care,17,544.29,West Zone,Credit,Company A,9252.93
A-00432,2023-01-10,SoftCare Body Wash 250ml,Personal Care,9,480.14,South Zone,Card,Company A,4321.26
B-01054,2023-01-10,CleanPro Laundry Powder 1 KG,Home Care,3,539.5,West Zone,UPI,Company B,1618.5
B-00467,2023-01-10,MunchBox Biscuits 200 GM,Snacks,33,466.46,East Zone,Card,Company B,15393.18
A-00877,2023-01-11,SoftCare Shampoo 200ml,Personal Care,6,888.41,North Zone,Credit,Company A,5330.46
B-00058,2023-01-11,Chai Bliss Tea 250 GM,Beverages,13,898.89,South Zone,Credit,Company B,11685.57
A-01044,2023-01-11,FreshWash Detergent Powder 1kg,Home Care,40,700.7,North Zone,Cash,Company A,28028.0
A-00296,2023-01-11,CrunchTime Chips 150g,Snacks,44,341.95,North Zone,Card,Company A,15045.8
B-00779,2023-01-12,MunchBox Biscuits 200 GM,Snacks,12,889.76,South Zone,UPI,Company B,10677.12
B-00495,2023-01-12,CleanPro Dishwash Liquid 500 ML,Home Care,5,383.46,South Zone,Cash,Company B,1917.3
B-01091,2023-01-12,MunchBox Chips 150 GM,Snacks,35,776.05,South Zone,Credit,Company B,27161.75
B-00392,2023-01-12,VITA Sunflower Oil 5 Litre,Edible Oils,18,433.26,South Zone,Credit,Company B,7798.68
A-00363,2023-01-12,GoldTea Green Tea 100g,Beverages,49,673.02,East Zone,Cash,Company A,32977.98
A-01462,2023-01-12,Sunrich Cooking Oil 5L,Edible Oils,15,876.16,South Zone,Credit,Company A,13142.4
B-00845,2023-01-12,GlowUp Shampoo 200 ML,Personal Care,18,327.85,South Zone,Credit,Company B,5901.3
A-01123,2023-01-13,PureBite Atta 5kg,Staples,48,464.26,South Zone,UPI,Company A,22284.48
B-00153,2023-01-13,WholeGrain Rice 5 KG,Staples,25,598.43,West Zone,Cash,Company B,14960.75
A-00186,2023-01-13,FreshWash Dish Soap 500ml,Home Care,25,438.97,West Zone,Credit,Company A,10974.25
B-00939,2023-01-13,WholeGrain Atta 5 KG,Staples,17,805.93,South Zone,Cash,Company B,13700.81
A-00577,2023-01-13,SoftCare Shampoo 200ml,Personal Care,2,624.04,East Zone,Credit,Company A,1248.08
A-01202,2023-01-13,GoldTea Green Tea 100g,Beverages,10,48.52,West Zone,Credit,Company A,485.2
A-00219,2023-01-14,Sunrich Cooking Oil 1L,Edible Oils,27,706.1,East Zone,Card,Company A,19064.7
B-01117,2023-01-14,CleanPro Dishwash Liquid 500 ML,Home Care,46,613.37,North Zone,UPI,Company B,28215.02
B-00716,2023-01-14,Chai Bliss Green Tea 100 GM,Beverages,26,437.41,East Zone,UPI,Company B,11372.66
A-01190,2023-01-14,Sunrich Cooking Oil 5L,Edible Oils,20,706.45,East Zone,Cash,Company A,14129.0
A-01213,2023-01-14,SoftCare Body Wash 250ml,Personal Care,8,399.97,West Zone,Cash,Company A,3199.76
A-00555,2023-01-15,Sunrich Cooking Oil 5L,Edible Oils,47,97.54,North Zone,UPI,Company A,4584.38
A-01082,2023-01-15,CrunchTime Biscuits 200g,Snacks,31,897.47,South Zone,Card,Company A,27821.57
B-00940,2023-01-15,Chai Bliss Tea 250 GM,Beverages,47,166.0,East Zone,Credit,Company B,7802.0
B-01189,2023-01-15,GlowUp Body Wash 250 ML,Personal Care,45,873.16,South Zone,UPI,Company B,39292.2
B-00663,2023-01-15,Chai Bliss Green Tea 100 GM,Beverages,7,190.9,East Zone,Cash,Company B,1336.3
A-00671,2023-01-15,Sunrich Cooking Oil 1L,Edible Oils,29,510.7,West Zone,Credit,Company A,14810.3
A-00744,2023-01-16,GoldTea Premium 250g,Beverages,27,827.03,South Zone,Cash,Company A,22329.81
A-00961,2023-01-16,SoftCare Shampoo 200ml,Personal Care,18,286.32,West Zone,UPI,Company A,5153.76
A-00915,2023-01-16,Sunrich Cooking Oil 5L,Edible Oils,24,71.74,South Zone,Cash,Company A,1721.76
A-00707,2023-01-16,CrunchTime Biscuits 200g,Snacks,32,394.92,North Zone,Card,Company A,12637.44
A-01115,2023-01-16,FreshWash Detergent Powder 1kg,Home Care,22,496.59,West Zone,Credit,Company A,10924.98
A-00361,2023-01-16,FreshWash Dish Soap 500ml,Home Care,4,360.22,South Zone,Credit,Company A,1440.88
B-01065,2023-01-17,WholeGrain Rice 5 KG,Staples,24,220.78,South Zone,UPI,Company B,5298.72
B-00475,2023-01-17,VITA Sunflower Oil 1 Litre,Edible Oils,47,984.38,North Zone,Cash,Company B,46265.86
A-00575,2023-01-17,PureBite Atta 5kg,Staples,12,641.8,West Zone,Cash,Company A,7701.6
A-00519,2023-01-17,PureBite Rice 5kg,Staples,47,567.27,North Zone,UPI,Company A,26661.69
B-00294,2023-01-18,GlowUp Shampoo 200 ML,Personal Care,16,644.91,North Zone,UPI,Company B,10318.56
B-00648,2023-01-18,GlowUp Body Wash 250 ML,Personal Care,50,892.25,South Zone,UPI,Company B,44612.5
B-00857,2023-01-19,WholeGrain Atta 5 KG,Staples,39,129.48,West Zone,Credit,Company B,5049.72
A-01245,2023-01-20,CrunchTime Biscuits 200g,Snacks,5,622.88,North Zone,Credit,Company A,3114.4
B-00557,2023-01-20,MunchBox Chips 150 GM,Snacks,9,152.72,South Zone,Card,Company B,1374.48
B-00052,2023-01-22,WholeGrain Rice 5 KG,Staples,41,211.65,South Zone,UPI,Company B,8677.65
A-00524,2023-01-22,SoftCare Shampoo 200ml,Personal Care,14,344.28,South Zone,UPI,Company A,4819.92
B-00706,2023-01-22,CleanPro Dishwash Liquid 500 ML,Home Care,10,353.58,North Zone,Credit,Company B,3535.8
A-00366,2023-01-22,CrunchTime Chips 150g,Snacks,29,137.68,West Zone,Cash,Company A,3992.72
B-00906,2023-01-22,MunchBox Chips 150 GM,Snacks,49,883.95,North Zone,Card,Company B,43313.55
B-00498,2023-01-22,CleanPro Dishwash Liquid 500 ML,Home Care,2,794.31,West Zone,Credit,Company B,1588.62
A-01435,2023-01-23,CrunchTime Biscuits 200g,Snacks,29,289.81,West Zone,UPI,Company A,8404.49
A-01109,2023-01-23,CrunchTime Chips 150g,Snacks,33,54.73,South Zone,Card,Company A,1806.09
A-00881,2023-01-23,FreshWash Dish Soap 500ml,Home Care,20,382.42,North Zone,UPI,Company A,7648.4
B-00034,2023-01-24,GlowUp Shampoo 200 ML,Personal Care,28,175.13,West Zone,Cash,Company B,4903.64
B-01047,2023-01-24,WholeGrain Atta 5 KG,Staples,1,975.25,West Zone,Card,Company B,975.25
A-00966,2023-01-24,GoldTea Premium 250g,Beverages,10,191.22,North Zone,Credit,Company A,1912.2
A-00764,2023-01-24,GoldTea Green Tea 100g,Beverages,5,822.25,North Zone,Cash,Company A,4111.25
A-01182,2023-01-25,CrunchTime Biscuits 200g,Snacks,46,837.61,South Zone,UPI,Company A,38530.06
B-01128,2023-01-25,MunchBox Biscuits 200 GM,Snacks,37,99.6,West Zone,Credit,Company B,3685.2
B-00831,2023-01-25,CleanPro Dishwash Liquid 500 ML,Home Care,11,281.37,West Zone,UPI,Company B,3095.07
A-01135,2023-01-25,FreshWash Dish Soap 500ml,Home Care,47,208.62,East Zone,Cash,Company A,9805.14
A-01470,2023-01-25,Sunrich Cooking Oil 1L,Edible Oils,50,325.49,West Zone,Card,Company A,16274.5
B-00439,2023-01-25,WholeGrain Rice 5 KG,Staples,25,771.9,West Zone,UPI,Company B,19297.5
B-01041,2023-01-26,WholeGrain Atta 5 KG,Staples,17,841.62,West Zone,Cash,Company B,14307.54
A-00721,2023-01-26,SoftCare Shampoo 200ml,Personal Care,9,607.59,South Zone,Cash,Company A,5468.31
A-00861,2023-01-26,SoftCare Shampoo 200ml,Personal Care,46,892.17,East Zone,Credit,Company A,41039.82
B-01126,2023-01-26,VITA Sunflower Oil 5 Litre,Edible Oils,29,221.61,East Zone,Credit,Company B,6426.69
A-01100,2023-01-26,SoftCare Body Wash 250ml,Personal Care,11,760.83,South Zone,Card,Company A,8369.13
B-00059,2023-01-27,CleanPro Dishwash Liquid 500 ML,Home Care,42,48.97,East Zone,Cash,Company B,2056.74
A-01425,2023-01-27,Sunrich Cooking Oil 1L,Edible Oils,12,519.29,South Zone,Credit,Company A,6231.48
B-00649,2023-01-27,CleanPro Laundry Powder 1 KG,Home Care,47,566.89,West Zone,Cash,Company B,26643.83
B-00546,2023-01-27,MunchBox Biscuits 200 GM,Snacks,17,142.76,North Zone,Cash,Company B,2426.92
B-00126,2023-01-27,CleanPro Dishwash Liquid 500 ML,Home Care,21,525.39,West Zone,Card,Company B,11033.19
A-00659,2023-01-28,FreshWash Detergent Powder 1kg,Home Care,19,139.26,East Zone,Credit,Company A,2645.94
B-00088,2023-01-28,CleanPro Laundry Powder 1 KG,Home Care,35,347.77,East Zone,Credit,Company B,12171.95
A-00396,2023-01-28,SoftCare Shampoo 200ml,Personal Care,30,222.4,North Zone,Cash,Company A,6672.0
A-00023,2023-01-28,FreshWash Detergent Powder 1kg,Home Care,45,507.13,East Zone,Cash,Company A,22820.85
A-00385,2023-01-29,PureBite Atta 5kg,Staples,1,590.31,South Zone,UPI,Company A,590.31
B-01018,2023-01-29,MunchBox Chips 150 GM,Snacks,35,283.03,North Zone,Cash,Company B,9906.05
A-00956,2023-01-29,SoftCare Shampoo 200ml,Personal Care,24,527.51,West Zone,Cash,Company A,12660.24
A-01288,2023-01-29,PureBite Atta 5kg,Staples,25,228.77,North Zone,Card,Company A,5719.25
A-00393,2023-01-29,SoftCare Shampoo 200ml,Personal Care,49,882.01,South Zone,Cash,Company A,43218.49
B-00042,2023-01-30,Chai Bliss Tea 250 GM,Beverages,22,568.55,South Zone,UPI,Company B,12508.1
B-00179,2023-01-30,VITA Sunflower Oil 1 Litre,Edible Oils,31,887.27,South Zone,UPI,Company B,27505.37
A-00210,2023-01-30,FreshWash Detergent Powder 1kg,Home Care,41,349.92,North Zone,Cash,Company A,14346.72
A-00837,2023-01-30,CrunchTime Chips 150g,Snacks,26,825.62,West Zone,Credit,Company A,21466.12
A-01201,2023-01-30,Sunrich Cooking Oil 5L,Edible Oils,39,425.17,North Zone,Card,Company A,16581.63
B-00795,2023-01-31,GlowUp Body Wash 250 ML,Personal Care,42,659.02,East Zone,Card,Company B,27678.84
B-00166,2023-01-31,Chai Bliss Tea 250 GM,Beverages,17,833.32,South Zone,Cash,Company B,14166.44
B-00929,2023-01-31,GlowUp Body Wash 250 ML,Personal Care,39,830.0,East Zone,Cash,Company B,32370.0
A-00240,2023-02-01,Sunrich Cooking Oil 5L,Edible Oils,10,311.58,East Zone,UPI,Company A,3115.8
A-00513,2023-02-01,GoldTea Premium 250g,Beverages,37,501.88,South Zone,Card,Company A,18569.56
A-01194,2023-02-01,CrunchTime Biscuits 200g,Snacks,21,491.76,North Zone,Card,Company A,10326.96
A-00398,2023-02-01,PureBite Atta 5kg,Staples,41,779.89,East Zone,Cash,Company A,31975.49
A-00125,2023-02-02,CrunchTime Chips 150g,Snacks,20,107.02,West Zone,Credit,Company A,2140.4
A-00511,2023-02-03,CrunchTime Chips 150g,Snacks,36,552.28,North Zone,Credit,Company A,19882.08
A-01385,2023-02-03,GoldTea Premium 250g,Beverages,18,552.17,North Zone,Card,Company A,9939.06
A-00449,2023-02-03,PureBite Atta 5kg,Staples,15,376.69,East Zone,Credit,Company A,5650.35
A-00761,2023-02-03,Sunrich Cooking Oil 5L,Edible Oils,6,566.2,South Zone,UPI,Company A,3397.2
B-00593,2023-02-03,Chai Bliss Tea 250 GM,Beverages,36,153.55,East Zone,Card,Company B,5527.8
A-00454,2023-02-03,FreshWash Dish Soap 500ml,Home Care,38,835.16,North Zone,Cash,Company A,31736.08
A-01048,2023-02-03,SoftCare Shampoo 200ml,Personal Care,23,449.73,South Zone,Cash,Company A,10343.79
B-01031,2023-02-04,GlowUp Shampoo 200 ML,Personal Care,43,830.0,East Zone,Credit,Company B,35690.0
B-00296,2023-02-04,WholeGrain Rice 5 KG,Staples,42,214.97,West Zone,UPI,Company B,9028.74
B-00329,2023-02-04,GlowUp Body Wash 250 ML,Personal Care,15,200.03,East Zone,Card,Company B,3000.45
A-00489,2023-02-05,PureBite Rice 5kg,Staples,39,684.84,East Zone,Credit,Company A,26708.76
B-00657,2023-02-05,VITA Sunflower Oil 1 Litre,Edible Oils,49,674.79,North Zone,Card,Company B,33064.71
A-01040,2023-02-05,SoftCare Shampoo 200ml,Personal Care,34,345.13,South Zone,Cash,Company A,11734.42
A-00220,2023-02-05,GoldTea Premium 250g,Beverages,20,198.91,East Zone,Cash,Company A,3978.2
A-00243,2023-02-05,SoftCare Shampoo 200ml,Personal Care,6,63.67,East Zone,Credit,Company A,382.02
A-00871,2023-02-05,Sunrich Cooking Oil 1L,Edible Oils,6,458.9,West Zone,UPI,Company A,2753.4
B-00584,2023-02-05,MunchBox Biscuits 200 GM,Snacks,25,912.17,South Zone,Credit,Company B,22804.25
B-00031,2023-02-05,WholeGrain Rice 5 KG,Staples,2,907.19,North Zone,Cash,Company B,1814.38
B-00862,2023-02-06,CleanPro Dishwash Liquid 500 ML,Home Care,28,323.7,South Zone,UPI,Company B,9063.6
B-00125,2023-02-06,VITA Sunflower Oil 5 Litre,Edible Oils,23,715.46,East Zone,Card,Company B,16455.58
A-00457,2023-02-06,FreshWash Detergent Powder 1kg,Home Care,39,378.21,North Zone,Cash,Company A,14750.19
B-00370,2023-02-06,CleanPro Laundry Powder 1 KG,Home Care,35,307.93,South Zone,UPI,Company B,10777.55
B-01183,2023-02-06,GlowUp Body Wash 250 ML,Personal Care,2,536.18,West Zone,Credit,Company B,1072.36
A-00278,2023-02-06,GoldTea Premium 250g,Beverages,44,576.18,North Zone,UPI,Company A,25351.92
B-00537,2023-02-07,WholeGrain Rice 5 KG,Staples,28,328.68,South Zone,UPI,Company B,9203.04
B-01157,2023-02-07,Chai Bliss Tea 250 GM,Beverages,40,993.51,West Zone,Card,Company B,39740.4
B-00842,2023-02-07,GlowUp Body Wash 250 ML,Personal Care,3,359.39,East Zone,Card,Company B,1078.17
A-00120,2023-02-07,Sunrich Cooking Oil 5L,Edible Oils,42,438.97,North Zone,Cash,Company A,18436.74
A-01131,2023-02-08,PureBite Atta 5kg,Staples,24,825.02,South Zone,Card,Company A,19800.48
B-01115,2023-02-08,CleanPro Laundry Powder 1 KG,Home Care,37,574.36,West Zone,Cash,Company B,21251.32
A-01128,2023-02-08,FreshWash Detergent Powder 1kg,Home Care,5,495.57,East Zone,Credit,Company A,2477.85
A-00093,2023-02-08,Sunrich Cooking Oil 1L,Edible Oils,9,240.02,East Zone,Card,Company A,2160.18
B-00061,2023-02-09,VITA Sunflower Oil 5 Litre,Edible Oils,46,276.39,South Zone,Card,Company B,12713.94
A-00533,2023-02-09,FreshWash Dish Soap 500ml,Home Care,41,675.1,South Zone,Cash,Company A,27679.1
B-01191,2023-02-09,CleanPro Dishwash Liquid 500 ML,Home Care,17,374.33,East Zone,Credit,Company B,6363.61
A-00218,2023-02-10,CrunchTime Chips 150g,Snacks,44,111.38,West Zone,Card,Company A,4900.72
A-00626,2023-02-10,Sunrich Cooking Oil 1L,Edible Oils,49,258.73,North Zone,UPI,Company A,12677.77
B-00927,2023-02-10,GlowUp Body Wash 250 ML,Personal Care,20,843.28,North Zone,UPI,Company B,16865.6
A-00326,2023-02-10,GoldTea Premium 250g,Beverages,10,367.44,East Zone,Card,Company A,3674.4
B-00049,2023-02-10,WholeGrain Rice 5 KG,Staples,36,217.46,North Zone,Card,Company B,7828.56
A-00221,2023-02-10,Sunrich Cooking Oil 1L,Edible Oils,32,528.06,North Zone,Credit,Company A,16897.92
B-00753,2023-02-11,MunchBox Biscuits 200 GM,Snacks,33,117.03,East Zone,Credit,Company B,3861.99
A-01381,2023-02-11,FreshWash Detergent Powder 1kg,Home Care,37,656.65,West Zone,Credit,Company A,24296.05
A-01434,2023-02-11,Sunrich Cooking Oil 5L,Edible Oils,5,284.66,West Zone,Cash,Company A,1423.3
A-00325,2023-02-11,PureBite Rice 5kg,Staples,15,652.82,West Zone,Cash,Company A,9792.3
A-00844,2023-02-11,SoftCare Shampoo 200ml,Personal Care,9,840.33,North Zone,Credit,Company A,7562.97
A-00709,2023-02-12,SoftCare Shampoo 200ml,Personal Care,22,449.68,South Zone,Cash,Company A,9892.96
B-00013,2023-02-12,WholeGrain Rice 5 KG,Staples,50,49.8,South Zone,Card,Company B,2490.0
A-00411,2023-02-12,GoldTea Premium 250g,Beverages,1,320.11,West Zone,UPI,Company A,320.11
B-00757,2023-02-12,GlowUp Shampoo 200 ML,Personal Care,46,439.07,South Zone,UPI,Company B,20197.22
B-00375,2023-02-12,GlowUp Body Wash 250 ML,Personal Care,46,733.72,South Zone,Credit,Company B,33751.12
A-00134,2023-02-12,SoftCare Body Wash 250ml,Personal Care,12,526.27,West Zone,Card,Company A,6315.24
B-00132,2023-02-12,GlowUp Shampoo 200 ML,Personal Care,19,913.83,West Zone,Credit,Company B,17362.77
A-01112,2023-02-13,CrunchTime Chips 150g,Snacks,38,438.9,West Zone,Card,Company A,16678.2
A-00756,2023-02-13,GoldTea Green Tea 100g,Beverages,44,385.28,West Zone,Credit,Company A,16952.32
A-00233,2023-02-13,GoldTea Premium 250g,Beverages,18,403.35,East Zone,Card,Company A,7260.3
A-00167,2023-02-13,Sunrich Cooking Oil 1L,Edible Oils,2,75.82,North Zone,Cash,Company A,151.64
A-00904,2023-02-13,CrunchTime Biscuits 200g,Snacks,7,468.62,West Zone,Card,Company A,3280.34
B-01127,2023-02-13,CleanPro Dishwash Liquid 500 ML,Home Care,28,329.51,West Zone,Card,Company B,9226.28
A-00301,2023-02-13,CrunchTime Chips 150g,Snacks,39,131.69,West Zone,Cash,Company A,5135.91
A-01496,2023-02-13,PureBite Rice 5kg,Staples,41,397.44,South Zone,UPI,Company A,16295.04
B-00351,2023-02-13,CleanPro Laundry Powder 1 KG,Home Care,15,878.97,North Zone,UPI,Company B,13184.55
B-00532,2023-02-13,CleanPro Laundry Powder 1 KG,Home Care,23,864.03,East Zone,Card,Company B,19872.69
A-01161,2023-02-13,FreshWash Detergent Powder 1kg,Home Care,8,641.1,West Zone,Card,Company A,5128.8
A-00420,2023-02-14,PureBite Atta 5kg,Staples,30,192.83,East Zone,Credit,Company A,5784.9
A-00427,2023-02-14,GoldTea Premium 250g,Beverages,40,711.71,West Zone,Credit,Company A,28468.4
B-00260,2023-02-14,WholeGrain Atta 5 KG,Staples,28,781.03,West Zone,Card,Company B,21868.84
B-00474,2023-02-14,MunchBox Biscuits 200 GM,Snacks,14,363.54,East Zone,UPI,Company B,5089.56
A-01020,2023-02-14,PureBite Atta 5kg,Staples,32,638.63,West Zone,Credit,Company A,20436.16
B-00515,2023-02-14,CleanPro Dishwash Liquid 500 ML,Home Care,9,756.96,North Zone,Credit,Company B,6812.64
B-00336,2023-02-14,MunchBox Biscuits 200 GM,Snacks,24,437.41,South Zone,UPI,Company B,10497.84
A-00946,2023-02-14,SoftCare Body Wash 250ml,Personal Care,30,601.21,East Zone,UPI,Company A,18036.3
A-00364,2023-02-14,CrunchTime Biscuits 200g,Snacks,23,660.73,East Zone,Cash,Company A,15196.79
A-00132,2023-02-14,FreshWash Dish Soap 500ml,Home Care,20,148.92,West Zone,UPI,Company A,2978.4
B-00606,2023-02-15,GlowUp Body Wash 250 ML,Personal Care,30,849.92,Unknown,Card,Company B,25497.6
B-00338,2023-02-15,WholeGrain Atta 5 KG,Staples,20,727.91,North Zone,Card,Company B,14558.2
A-00713,2023-02-16,CrunchTime Biscuits 200g,Snacks,28,838.4,West Zone,Cash,Company A,23475.2
A-00339,2023-02-16,GoldTea Premium 250g,Beverages,11,519.48,North Zone,Credit,Company A,5714.28
A-01490,2023-02-16,GoldTea Premium 250g,Beverages,25,584.11,South Zone,Credit,Company A,14602.75
B-00859,2023-02-16,VITA Sunflower Oil 5 Litre,Edible Oils,4,206.67,North Zone,Cash,Company B,826.68
A-01306,2023-02-16,CrunchTime Chips 150g,Snacks,6,525.77,North Zone,UPI,Company A,3154.62
A-00069,2023-02-17,SoftCare Body Wash 250ml,Personal Care,44,287.09,South Zone,Cash,Company A,12631.96
A-00827,2023-02-17,PureBite Rice 5kg,Staples,29,454.56,South Zone,Cash,Company A,13182.24
A-00150,2023-02-18,SoftCare Shampoo 200ml,Personal Care,27,480.9,South Zone,Credit,Company A,12984.3
B-00279,2023-02-18,CleanPro Dishwash Liquid 500 ML,Home Care,39,389.27,South Zone,UPI,Company B,15181.53
B-00568,2023-02-18,CleanPro Dishwash Liquid 500 ML,Home Care,47,806.76,North Zone,Cash,Company B,37917.72
A-00907,2023-02-18,FreshWash Dish Soap 500ml,Home Care,21,236.52,West Zone,Card,Company A,4966.92
A-01042,2023-02-18,GoldTea Premium 250g,Beverages,39,587.45,East Zone,UPI,Company A,22910.55
A-01333,2023-02-18,FreshWash Detergent Powder 1kg,Home Care,4,192.67,South Zone,Credit,Company A,770.68
A-00328,2023-02-18,PureBite Atta 5kg,Staples,19,814.92,South Zone,Cash,Company A,15483.48
A-00823,2023-02-18,GoldTea Premium 250g,Beverages,37,627.29,East Zone,Cash,Company A,23209.73
A-01353,2023-02-19,PureBite Atta 5kg,Staples,8,762.27,West Zone,UPI,Company A,6098.16
A-01267,2023-02-19,PureBite Rice 5kg,Staples,37,281.64,North Zone,UPI,Company A,10420.68
A-00001,2023-02-19,GoldTea Green Tea 100g,Beverages,10,379.55,North Zone,Cash,Company A,3795.5
B-00787,2023-02-19,Chai Bliss Tea 250 GM,Beverages,14,779.37,Unknown,UPI,Company B,10911.18
A-00148,2023-02-19,Sunrich Cooking Oil 5L,Edible Oils,29,237.84,East Zone,UPI,Company A,6897.36
B-00547,2023-02-19,WholeGrain Rice 5 KG,Staples,7,351.92,South Zone,UPI,Company B,2463.44
A-00631,2023-02-19,PureBite Rice 5kg,Staples,44,506.63,West Zone,UPI,Company A,22291.72
B-00854,2023-02-19,WholeGrain Atta 5 KG,Staples,29,666.49,East Zone,UPI,Company B,19328.21
A-00216,2023-02-20,PureBite Rice 5kg,Staples,36,801.62,West Zone,UPI,Company A,28858.32
