order_id,order_date,product_name,category,quantity,unit_price_inr,region,payment_mode
A-00051,2023-10-02,CrunchTime Biscuits 200g,Snacks,27,836.94,South Zone,Cash
A-00052,2023-07-05,Sunrich Cooking Oil 5L,Edible Oils,11,265.23,South Zone,UPI
A-00053,2023-07-02,FreshWash Dish Soap 500ml,Home Care,19,423.29,East Zone,UPI
A-00054,2024-06-01,Sunrich Cooking Oil 1L,Edible Oils,1,55.85,South Zone,Credit
A-00055,2024-05-21,PureBite Atta 5kg,Staples,42,411.67,West Zone,UPI
A-00056,2023-05-24,GoldTea Green Tea 100g,Beverages,13,755.77,West Zone,UPI
A-00057,2023-09-19,Sunrich Cooking Oil 1L,Edible Oils,5,577.89,West Zone,Card
A-00058,2023-10-16,SoftCare Shampoo 200ml,Personal Care,33,616.67,South Zone,UPI
A-00059,2024-01-08,GoldTea Premium 250g,Beverages,29,43.12,East Zone,UPI
A-00060,2023-01-02,GoldTea Premium 250g,Beverages,14,346.66,East Zone,Credit
A-00061,2023-01-06,PureBite Atta 5kg,Staples,13,253.43,North Zone,UPI
A-00062,2023-11-03,CrunchTime Chips 150g,Snacks,3,378.82,East Zone,Card
A-00063,2024-02-03,FreshWash Detergent Powder 1kg,Home Care,43,807.81,East Zone,Credit
A-00064,2024-06-09,PureBite Atta 5kg,Staples,10,77.66,West Zone,Card
A-00065,2023-08-24,CrunchTime Chips 150g,Snacks,2,750.71,North Zone,Cash
A-00066,2023-02-21,Sunrich Cooking Oil 5L,Edible Oils,,758.81,North Zone,Card
A-00067,2023-04-05,Sunrich Cooking Oil 5L,Edible Oils,48,841.95,North Zone,Credit
A-00068,2023-07-30,GoldTea Premium 250g,Beverages,16,667.23,South Zone,Credit
A-00069,2023-02-17,SoftCare Body Wash 250ml,Personal Care,44,287.09,South Zone,Cash
A-00070,2023-05-17,PureBite Atta 5kg,Staples,48,635.88,North Zone,Credit
A-00071,2024-05-16,PureBite Atta 5kg,Staples,7,635.28,East Zone,UPI
A-00072,2023-03-29,Sunrich Cooking Oil 5L,Edible Oils,36,211.36,West Zone,Cash
A-00073,2024-02-01,CrunchTime Biscuits 200g,Snacks,29,894.81,South Zone,Card
A-00074,2024-01-04,PureBite Rice 5kg,Staples,34,265.16,South Zone,UPI
A-00075,2024-05-12,FreshWash Dish Soap 500ml,Home Care,32,812.03,West Zone,Cash
A-00076,2023-05-25,PureBite Atta 5kg,Staples,29,388.66,West Zone,UPI
A-00077,2023-12-13,GoldTea Green Tea 100g,Beverages,1,319.11,West Zone,Cash
A-00078,2024-01-17,Sunrich Cooking Oil 1L,Edible Oils,48,289.26,North Zone,Credit
A-00079,2023-10-09,Sunrich Cooking Oil 5L,Edible Oils,24,835.86,North Zone,UPI
A-00080,2023-09-13,GoldTea Premium 250g,Beverages,41,844.61,East Zone,Credit
A-00081,2024-02-14,GoldTea Green Tea 100g,Beverages,28,800.47,South Zone,Cash
A-00082,2023-10-21,SoftCare Body Wash 250ml,Personal Care,40,687.29,West Zone,Cash
A-00083,2023-10-16,FreshWash Detergent Powder 1kg,Home Care,31,396.79,East Zone,UPI
A-00084,2023-11-05,GoldTea Premium 250g,Beverages,26,604.16,West Zone,Credit
A-00085,2024-05-24,Sunrich Cooking Oil 5L,Edible Oils,14,470.52,South Zone,Credit
A-00086,2023-07-17,SoftCare Body Wash 250ml,Personal Care,28,160.05,South Zone,Cash
A-00087,2023-07-26,GoldTea Green Tea 100g,Beverages,16,356.74,North Zone,Credit
A-00088,2023-03-05,FreshWash Dish Soap 500ml,Home Care,25,272.41,West Zone,UPI
A-00089,2023-08-10,PureBite Atta 5kg,Staples,33,495.13,North Zone,UPI
A-00090,2023-11-16,PureBite Atta 5kg,Staples,29,411.38,North Zone,Card
A-00091,2023-03-16,SoftCare Body Wash 250ml,Personal Care,38,461.25,West Zone,Credit
A-00092,2024-06-18,Sunrich Cooking Oil 5L,Edible Oils,15,172.77,North Zone,Credit
A-00093,2023-02-08,Sunrich Cooking Oil 1L,Edible Oils,9,240.02,East Zone,Card
A-00094,2023-04-12,SoftCare Shampoo 200ml,Personal Care,45,696.91,North Zone,UPI
A-00095,2023-01-02,SoftCare Shampoo 200ml,Personal Care,17,232.28,North Zone,UPI
A-00096,2023-09-06,GoldTea Green Tea 100g,Beverages,42,761.89,West Zone,Card
A-00097,2023-02-26,SoftCare Shampoo 200ml,Personal Care,46,598.7,North Zone,Card
A-00098,2024-03-10,SoftCare Shampoo 200ml,Personal Care,6,261.24,East Zone,Card
A-00099,2024-02-10,PureBite Rice 5kg,Staples,27,351.6,South Zone,Cash
A-00100,2023-07-25,CrunchTime Biscuits 200g,Snacks,5,216.49,East Zone,Card
A-00101,2024-05-22,GoldTea Premium 250g,Beverages,7,858.66,South Zone,Card
A-00102,2024-02-07,Sunrich Cooking Oil 1L,Edible Oils,39,165.89,North Zone,Card
A-00103,2023-07-08,SoftCare Shampoo 200ml,Personal Care,4,650.48,West Zone,Credit
A-00104,2023-06-19,PureBite Rice 5kg,Staples,8,897.88,East Zone,Card
A-00105,2024-01-23,PureBite Rice 5kg,Staples,30,67.43,East Zone,UPI
A-00106,2024-03-06,Sunrich Cooking Oil 5L,Edible Oils,18,109.46,North Zone,Card
A-00107,2024-04-29,GoldTea Premium 250g,Beverages,28,115.47,South Zone,UPI
A-00108,2024-04-30,GoldTea Green Tea 100g,Beverages,24,674.1,North Zone,Credit
A-00109,2024-04-20,SoftCare Shampoo 200ml,Personal Care,3,362.99,North Zone,Cash
A-00110,2023-12-10,CrunchTime Chips 150g,Snacks,22,352.16,North Zone,UPI
A-00111,2023-03-08,GoldTea Premium 250g,Beverages,20,43.24,North Zone,Card
A-00112,2023-09-15,SoftCare Body Wash 250ml,Personal Care,50,372.4,West Zone,Credit
A-00113,2023-06-04,Sunrich Cooking Oil 1L,Edible Oils,48,300.85,South Zone,UPI
A-00114,2024-02-06,CrunchTime Chips 150g,Snacks,6,480.22,South Zone,Card
A-00115,2023-06-14,SoftCare Body Wash 250ml,Personal Care,36,508.37,West Zone,Cash
A-00116,2024-05-25,Sunrich Cooking Oil 5L,Edible Oils,14,122.92,West Zone,Card
A-00117,2023-05-05,CrunchTime Chips 150g,Snacks,44,242.04,East Zone,UPI
A-00118,2024-03-25,GoldTea Premium 250g,Beverages,48,263.89,South Zone,Card
A-00119,2024-02-10,CrunchTime Chips 150g,Snacks,13,320.65,East Zone,Card
A-00120,2023-02-07,Sunrich Cooking Oil 5L,Edible Oils,42,438.97,North Zone,Cash
A-00121,2023-10-28,SoftCare Body Wash 250ml,Personal Care,24,74.71,South Zone,Cash
A-00122,2024-01-17,CrunchTime Chips 150g,Snacks,13,839.95,South Zone,Credit
A-00123,2023-12-25,PureBite Atta 5kg,Staples,1,130.97,South Zone,Cash
A-00124,2023-07-28,FreshWash Dish Soap 500ml,Home Care,17,72.88,North Zone,UPI
A-00125,2023-02-02,CrunchTime Chips 150g,Snacks,20,107.02,West Zone,Credit
A-00126,2024-06-30,SoftCare Shampoo 200ml,Personal Care,43,513.12,North Zone,Card
A-00127,2023-02-22,GoldTea Premium 250g,Beverages,43,304.53,East Zone,UPI
A-00128,2024-02-19,GoldTea Green Tea 100g,Beverages,42,209.59,South Zone,Cash
A-00129,2024-01-09,Sunrich Cooking Oil 5L,Edible Oils,6,389.35,West Zone,Card
A-00130,2024-02-11,FreshWash Detergent Powder 1kg,Home Care,42,733.56,North Zone,UPI
A-00131,2023-06-25,GoldTea Green Tea 100g,Beverages,19,179.16,North Zone,Cash
A-00132,2023-02-14,FreshWash Dish Soap 500ml,Home Care,20,148.92,West Zone,UPI
A-00133,2023-06-14,SoftCare Shampoo 200ml,Personal Care,6,817.63,South Zone,Credit
A-00134,2023-02-12,SoftCare Body Wash 250ml,Personal Care,12,526.27,West Zone,Card
A-00135,2023-07-17,FreshWash Dish Soap 500ml,Home Care,47,741.46,North Zone,Cash
A-00136,2023-11-10,SoftCare Shampoo 200ml,Personal Care,39,431.93,West Zone,UPI
A-00137,2024-03-24,PureBite Atta 5kg,Staples,24,424.24,,Cash
A-00138,2024-04-14,SoftCare Body Wash 250ml,Personal Care,16,424.26,South Zone,Credit
A-00139,2024-03-28,GoldTea Green Tea 100g,Beverages,28,354.19,North Zone,Cash
A-00140,2024-06-07,PureBite Rice 5kg,Staples,21,708.77,North Zone,Cash
A-00141,2023-03-09,PureBite Atta 5kg,Staples,9,62.24,North Zone,Card
A-00142,2023-08-15,GoldTea Premium 250g,Beverages,11,630.08,North Zone,UPI
A-00143,2024-04-12,GoldTea Green Tea 100g,Beverages,40,276.49,South Zone,UPI
A-00144,2024-06-02,FreshWash Dish Soap 500ml,Home Care,38,266.07,South Zone,UPI
A-00145,2023-10-12,SoftCare Shampoo 200ml,Personal Care,11,587.45,East Zone,Credit
A-00146,2024-01-04,Sunrich Cooking Oil 5L,Edible Oils,50,496.42,West Zone,Cash
A-00147,2023-09-29,SoftCare Shampoo 200ml,Personal Care,48,726.0,West Zone,UPI
A-00148,2023-02-19,Sunrich Cooking Oil 5L,Edible Oils,29,237.84,East Zone,UPI
A-00149,2023-01-02,CrunchTime Chips 150g,Snacks,43,810.32,North Zone,Card
A-00150,2023-02-18,SoftCare Shampoo 200ml,Personal Care,27,480.9,South Zone,Credit
A-00151,2023-12-30,Sunrich Cooking Oil 1L,Edible Oils,4,42.25,East Zone,Cash
A-00152,2023-05-17,SoftCare Shampoo 200ml,Personal Care,38,298.99,South Zone,UPI
A-00153,2023-09-07,FreshWash Detergent Powder 1kg,Home Care,1,845.47,South Zone,Credit
A-00154,2023-09-28,PureBite Atta 5kg,Staples,18,385.68,North Zone,Cash
A-00155,2024-03-30,GoldTea Green Tea 100g,Beverages,,595.22,West Zone,Card
A-00156,2023-07-10,Sunrich Cooking Oil 1L,Edible Oils,35,61.69,South Zone,Card
A-00157,2023-07-21,Sunrich Cooking Oil 1L,Edible Oils,40,513.79,South Zone,Credit
A-00158,2023-06-28,CrunchTime Biscuits 200g,Snacks,42,591.75,East Zone,Cash
A-00159,2023-01-07,PureBite Rice 5kg,Staples,31,655.24,West Zone,Credit
A-00160,2023-08-20,PureBite Rice 5kg,Staples,42,429.14,North Zone,UPI
A-00161,2023-09-27,GoldTea Green Tea 100g,Beverages,48,835.65,North Zone,UPI
A-00162,2023-10-30,PureBite Atta 5kg,Staples,34,875.83,South Zone,Cash
A-00163,2023-07-27,GoldTea Premium 250g,Beverages,16,763.88,South Zone,UPI
A-00164,2024-04-25,CrunchTime Chips 150g,Snacks,16,366.33,West Zone,Cash
A-00165,2023-11-12,PureBite Rice 5kg,Staples,15,530.49,South Zone,Credit
A-00166,2023-04-25,FreshWash Detergent Powder 1kg,Home Care,10,68.31,North Zone,Card
A-00167,2023-02-13,Sunrich Cooking Oil 1L,Edible Oils,2,75.82,North Zone,Cash
A-00168,2024-06-30,GoldTea Green Tea 100g,Beverages,13,743.1,North Zone,Credit
A-00169,2023-03-31,Sunrich Cooking Oil 5L,Edible Oils,3,69.61,East Zone,Credit
A-00170,2023-12-11,PureBite Atta 5kg,Staples,14,293.24,West Zone,UPI
A-00171,2024-01-12,GoldTea Premium 250g,Beverages,4,655.56,East Zone,Credit
A-00172,2024-06-15,Sunrich Cooking Oil 1L,Edible Oils,27,66.87,North Zone,UPI
A-00173,2023-04-04,CrunchTime Chips 150g,Snacks,14,654.38,East Zone,Card
A-00174,2023-02-25,GoldTea Premium 250g,Beverages,49,685.45,North Zone,UPI
A-00175,2024-06-11,FreshWash Detergent Powder 1kg,Home Care,32,549.6,East Zone,Card
A-00176,2023-04-23,PureBite Rice 5kg,Staples,15,468.55,North Zone,Credit
A-00177,2023-04-08,Sunrich Cooking Oil 5L,Edible Oils,41,320.91,West Zone,Credit
A-00178,2023-07-31,SoftCare Shampoo 200ml,Personal Care,42,61.65,East Zone,UPI
A-00179,2023-08-28,FreshWash Detergent Powder 1kg,Home Care,25,884.87,West Zone,Card
A-00180,2023-12-01,CrunchTime Chips 150g,Snacks,42,69.14,South Zone,Credit
A-00181,2023-09-21,FreshWash Detergent Powder 1kg,Home Care,30,417.37,South Zone,Card
A-00182,2023-10-01,PureBite Rice 5kg,Staples,16,476.62,East Zone,Card
A-00183,2023-12-23,PureBite Rice 5kg,Staples,21,558.49,South Zone,Card
A-00184,2023-04-15,PureBite Rice 5kg,Staples,7,181.56,South Zone,Credit
A-00185,2023-10-08,GoldTea Premium 250g,Beverages,47,295.77,South Zone,Cash
A-00186,2023-01-13,FreshWash Dish Soap 500ml,Home Care,25,438.97,West Zone,Credit
A-00187,2023-05-26,PureBite Atta 5kg,Staples,19,438.42,,Credit
A-00188,2024-03-07,SoftCare Shampoo 200ml,Personal Care,45,533.62,South Zone,Card
A-00189,2023-04-11,SoftCare Body Wash 250ml,Personal Care,28,309.19,West Zone,Card
A-00190,2024-03-09,PureBite Atta 5kg,Staples,11,255.05,West Zone,Credit
A-00191,2023-07-07,CrunchTime Biscuits 200g,Snacks,44,608.55,East Zone,Cash
A-00192,2023-08-12,Sunrich Cooking Oil 5L,Edible Oils,3,256.05,South Zone,Card
A-00193,2024-05-02,CrunchTime Chips 150g,Snacks,30,505.29,North Zone,UPI
A-00194,2023-07-08,SoftCare Body Wash 250ml,Personal Care,14,891.64,West Zone,Cash
A-00195,2024-01-27,PureBite Atta 5kg,Staples,4,257.11,West Zone,Cash
A-00196,2023-12-27,SoftCare Shampoo 200ml,Personal Care,41,640.5,East Zone,Cash
A-00197,2024-02-06,CrunchTime Biscuits 200g,Snacks,15,895.04,West Zone,Card
A-00198,2023-08-20,Sunrich Cooking Oil 5L,Edible Oils,41,206.13,South Zone,UPI
A-00199,2023-05-09,SoftCare Shampoo 200ml,Personal Care,30,896.68,West Zone,UPI
A-00200,2024-03-12,PureBite Rice 5kg,Staples,25,631.21,,Credit
A-00201,2023-11-06,GoldTea Premium 250g,Beverages,23,250.67,East Zone,Credit
A-00202,2023-06-06,Sunrich Cooking Oil 5L,Edible Oils,43,811.43,East Zone,Credit
A-00203,2023-12-20,GoldTea Green Tea 100g,Beverages,9,496.36,North Zone,Cash
A-00204,2023-05-27,GoldTea Premium 250g,Beverages,17,563.05,South Zone,Card
A-00205,2023-06-21,FreshWash Detergent Powder 1kg,Home Care,14,817.52,North Zone,UPI
A-00206,2024-03-25,CrunchTime Biscuits 200g,Snacks,6,678.04,North Zone,Cash
A-00207,2023-03-01,FreshWash Detergent Powder 1kg,Home Care,31,464.05,West Zone,Credit
A-00208,2023-01-07,FreshWash Dish Soap 500ml,Home Care,32,181.57,South Zone,UPI
A-00209,2024-01-19,PureBite Atta 5kg,Staples,19,762.89,West Zone,Credit
A-00210,2023-01-30,FreshWash Detergent Powder 1kg,Home Care,41,349.92,North Zone,Cash
A-00211,2024-05-11,GoldTea Green Tea 100g,Beverages,7,479.14,South Zone,Cash
A-00212,2024-01-10,FreshWash Detergent Powder 1kg,Home Care,22,121.24,East Zone,Credit
A-00213,2024-03-08,FreshWash Dish Soap 500ml,Home Care,19,414.26,East Zone,Cash
A-00214,2023-10-06,SoftCare Body Wash 250ml,Personal Care,26,327.0,East Zone,Card
A-00215,2023-11-03,GoldTea Green Tea 100g,Beverages,13,312.7,South Zone,Cash
A-00216,2023-02-20,PureBite Rice 5kg,Staples,36,801.62,West Zone,UPI
A-00217,2023-03-03,SoftCare Body Wash 250ml,Personal Care,39,698.75,West Zone,Card
A-00218,2023-02-10,CrunchTime Chips 150g,Snacks,44,111.38,West Zone,Card
A-00219,2023-01-14,Sunrich Cooking Oil 1L,Edible Oils,27,706.1,East Zone,Card
A-00220,2023-02-05,GoldTea Premium 250g,Beverages,20,198.91,East Zone,Cash
A-00221,2023-02-10,Sunrich Cooking Oil 1L,Edible Oils,32,528.06,North Zone,Credit
A-00222,2024-02-01,SoftCare Body Wash 250ml,Personal Care,5,52.15,South Zone,Credit
A-00223,2023-06-05,Sunrich Cooking Oil 5L,Edible Oils,42,446.09,,Credit
A-00224,2023-05-05,Sunrich Cooking Oil 5L,Edible Oils,6,227.69,South Zone,Credit
A-00225,2023-07-11,FreshWash Dish Soap 500ml,Home Care,29,670.86,North Zone,UPI
A-00226,2023-10-28,FreshWash Detergent Powder 1kg,Home Care,47,693.04,West Zone,Credit
A-00227,2023-03-04,Sunrich Cooking Oil 1L,Edible Oils,46,67.49,North Zone,Cash
A-00228,2024-05-13,CrunchTime Chips 150g,Snacks,11,863.62,North Zone,UPI
A-00229,2023-05-29,SoftCare Body Wash 250ml,Personal Care,31,622.12,North Zone,UPI
A-00230,2024-04-08,SoftCare Shampoo 200ml,Personal Care,31,371.73,East Zone,UPI
A-00231,2023-12-07,PureBite Atta 5kg,Staples,46,729.66,North Zone,Card
A-00232,2024-01-21,SoftCare Shampoo 200ml,Personal Care,,363.94,South Zone,Credit
A-00233,2023-02-13,GoldTea Premium 250g,Beverages,18,403.35,East Zone,Card
A-00234,2024-05-26,CrunchTime Chips 150g,Snacks,10,275.51,East Zone,Cash
A-00235,2023-08-28,SoftCare Shampoo 200ml,Personal Care,13,717.41,East Zone,Cash
A-00236,2023-01-10,FreshWash Dish Soap 500ml,Home Care,17,544.29,West Zone,Credit
A-00237,2024-02-12,GoldTea Green Tea 100g,Beverages,50,93.86,East Zone,UPI
A-00238,2023-07-05,FreshWash Dish Soap 500ml,Home Care,14,205.39,East Zone,UPI
A-00239,2024-05-20,CrunchTime Biscuits 200g,Snacks,10,251.82,East Zone,Cash
A-00240,2023-02-01,Sunrich Cooking Oil 5L,Edible Oils,10,311.58,East Zone,UPI
A-00241,2024-05-12,Sunrich Cooking Oil 1L,Edible Oils,14,891.75,South Zone,UPI
A-00242,2023-05-15,Sunrich Cooking Oil 5L,Edible Oils,29,699.83,East Zone,Cash
A-00243,2023-02-05,SoftCare Shampoo 200ml,Personal Care,6,63.67,East Zone,Credit
A-00244,2023-05-03,Sunrich Cooking Oil 5L,Edible Oils,39,590.26,North Zone,UPI
A-00245,2023-07-07,Sunrich Cooking Oil 5L,Edible Oils,43,475.59,West Zone,Card
A-00246,2023-09-20,PureBite Rice 5kg,Staples,15,188.03,East Zone,Cash
A-00247,2024-05-10,Sunrich Cooking Oil 1L,Edible Oils,17,716.28,North Zone,Cash
A-00248,2024-03-27,FreshWash Dish Soap 500ml,Home Care,44,683.47,North Zone,Credit
A-00249,2023-06-22,Sunrich Cooking Oil 5L,Edible Oils,24,453.93,West Zone,Card
A-00250,2023-07-19,Sunrich Cooking Oil 1L,Edible Oils,30,656.81,North Zone,Card
A-00251,2023-05-24,CrunchTime Chips 150g,Snacks,24,804.29,West Zone,Cash
A-00252,2023-12-14,Sunrich Cooking Oil 1L,Edible Oils,41,104.63,East Zone,Card
A-00253,2023-02-28,FreshWash Detergent Powder 1kg,Home Care,22,230.62,South Zone,Credit
A-00254,2023-09-10,FreshWash Detergent Powder 1kg,Home Care,18,399.71,South Zone,Cash
A-00255,2023-04-22,GoldTea Green Tea 100g,Beverages,11,264.18,East Zone,Credit
A-00256,2023-08-05,CrunchTime Biscuits 200g,Snacks,4,582.66,West Zone,UPI
A-00257,2023-09-02,GoldTea Green Tea 100g,Beverages,28,892.28,South Zone,Cash
A-00258,2023-10-28,FreshWash Detergent Powder 1kg,Home Care,4,755.8,South Zone,Cash
A-00259,2024-06-23,CrunchTime Biscuits 200g,Snacks,9,420.99,East Zone,Card
A-00260,2023-07-05,SoftCare Shampoo 200ml,Personal Care,14,278.09,South Zone,Card
A-00261,2023-03-31,FreshWash Detergent Powder 1kg,Home Care,13,556.56,West Zone,UPI
A-00262,2023-07-16,PureBite Atta 5kg,Staples,46,580.46,East Zone,Card
A-00263,2023-02-26,CrunchTime Biscuits 200g,Snacks,27,763.32,East Zone,UPI
A-00264,2024-05-03,SoftCare Body Wash 250ml,Personal Care,6,53.28,South Zone,UPI
A-00265,2024-01-16,GoldTea Green Tea 100g,Beverages,3,180.6,North Zone,UPI
A-00266,2023-09-08,CrunchTime Biscuits 200g,Snacks,5,143.86,East Zone,Credit
A-00267,2024-05-21,GoldTea Premium 250g,Beverages,7,860.48,West Zone,Cash
A-00268,2023-08-18,Sunrich Cooking Oil 1L,Edible Oils,16,871.99,South Zone,Card
A-00269,2023-07-19,Sunrich Cooking Oil 1L,Edible Oils,2,122.97,East Zone,Cash
A-00270,2024-03-30,SoftCare Body Wash 250ml,Personal Care,34,245.0,North Zone,UPI
A-00271,2024-05-20,Sunrich Cooking Oil 1L,Edible Oils,18,145.82,East Zone,Cash
A-00272,2023-08-21,FreshWash Detergent Powder 1kg,Home Care,35,548.96,South Zone,Credit
A-00273,2024-03-06,Sunrich Cooking Oil 1L,Edible Oils,41,374.32,North Zone,Credit
A-00274,2023-12-10,GoldTea Green Tea 100g,Beverages,22,384.61,West Zone,UPI
A-00275,2023-12-28,Sunrich Cooking Oil 1L,Edible Oils,21,484.94,South Zone,Credit
A-00276,2023-11-29,Sunrich Cooking Oil 5L,Edible Oils,34,201.25,West Zone,Card
A-00277,2024-04-09,FreshWash Detergent Powder 1kg,Home Care,27,873.94,North Zone,Cash
A-00278,2023-02-06,GoldTea Premium 250g,Beverages,44,576.18,North Zone,UPI
A-00279,2023-11-09,FreshWash Dish Soap 500ml,Home Care,3,287.27,East Zone,Card
A-00280,2024-06-30,CrunchTime Biscuits 200g,Snacks,18,112.65,South Zone,Credit
A-00281,2023-10-08,GoldTea Premium 250g,Beverages,27,536.52,South Zone,Cash
A-00282,2023-08-15,SoftCare Body Wash 250ml,Personal Care,40,637.56,West Zone,Card
A-00283,2024-04-25,CrunchTime Biscuits 200g,Snacks,20,567.01,East Zone,Cash
A-00284,2024-02-10,CrunchTime Biscuits 200g,Snacks,35,369.53,North Zone,UPI
A-00285,2023-10-04,GoldTea Green Tea 100g,Beverages,36,319.91,East Zone,Card
A-00286,2023-12-23,FreshWash Detergent Powder 1kg,Home Care,36,97.45,West Zone,Cash
A-00287,2024-06-17,GoldTea Green Tea 100g,Beverages,48,696.05,South Zone,Card
A-00288,2023-10-11,FreshWash Detergent Powder 1kg,Home Care,44,214.14,North Zone,Credit
A-00289,2023-04-16,PureBite Atta 5kg,Staples,46,149.45,North Zone,Credit
A-00290,2023-06-03,SoftCare Body Wash 250ml,Personal Care,26,867.96,West Zone,UPI
A-00291,2023-10-22,SoftCare Shampoo 200ml,Personal Care,29,635.67,East Zone,UPI
A-00292,2023-01-07,CrunchTime Chips 150g,Snacks,25,597.45,West Zone,Credit
A-00293,2024-01-22,GoldTea Premium 250g,Beverages,10,414.66,South Zone,Cash
A-00294,2023-07-29,CrunchTime Chips 150g,Snacks,16,864.54,West Zone,Cash
A-00295,2023-11-16,SoftCare Body Wash 250ml,Personal Care,20,831.47,West Zone,Credit
A-00296,2023-01-11,CrunchTime Chips 150g,Snacks,44,341.95,North Zone,Card
A-00297,2023-06-07,SoftCare Shampoo 200ml,Personal Care,42,522.75,South Zone,Credit
A-00298,2024-06-26,CrunchTime Chips 150g,Snacks,38,335.22,North Zone,Card
